Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer,TimedSection,listLength,,ItemNo
26,1713947848110,24/04/2024 08:37:28,1713947848042,2,24/04/2024 10:37:28,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,15,10,2,Screen 2,Zone2,timelimit_screen,1000.5,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">3</p>",,,3,,
27,1713947848365,24/04/2024 08:37:28,1713947848334,2,24/04/2024 10:37:28,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,16,11,1,Screen 1,fixation,fixation,291.20000000001164,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
28,1713947849353,24/04/2024 08:37:29,1713947849336,2,24/04/2024 10:37:29,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,16,11,2,Screen 2,Zone2,timelimit_screen,1000.2999999999884,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
29,1713947849629,24/04/2024 08:37:29,1713947849626,2,24/04/2024 10:37:29,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,17,12,1,Screen 1,fixation,fixation,291.9000000000233,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
30,1713947850632,24/04/2024 08:37:30,1713947850627,2,24/04/2024 10:37:30,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,17,12,2,Screen 2,Zone2,timelimit_screen,999.5999999999767,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
31,1713947852169,24/04/2024 08:37:32,1713947852172,2,24/04/2024 10:37:32,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,18,4,1,Screen 1,Zone2,response_text_entry,503.40000000037253,,Enter Key,396,1,1,0,0,,,,,,Test_Forwards,,396,8000,3,,F3_4
32,1713947852457,24/04/2024 08:37:32,1713947852458,2,24/04/2024 10:37:32,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,19,13,1,Screen 1,fixation,fixation,291,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,4,,
33,1713947853458,24/04/2024 08:37:33,1713947853459,2,24/04/2024 10:37:33,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,19,13,2,Screen 2,Zone2,timelimit_screen,1000.2000000000116,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,4,,
34,1713947853767,24/04/2024 08:37:33,1713947853751,2,24/04/2024 10:37:33,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,20,14,1,Screen 1,fixation,fixation,291.70000000001164,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">2</p>",,,4,,
35,1713947854781,24/04/2024 08:37:34,1713947854753,2,24/04/2024 10:37:34,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,20,14,2,Screen 2,Zone2,timelimit_screen,999.7999999999884,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">2</p>",,,4,,
36,1713947855668,24/04/2024 08:37:35,1713947855043,2,24/04/2024 10:37:35,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,21,15,1,Screen 1,fixation,fixation,292.3999999999651,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">3</p>",,,4,,
37,1713947856122,24/04/2024 08:37:36,1713947856044,2,24/04/2024 10:37:36,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,21,15,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">3</p>",,,4,,
38,1713947856348,24/04/2024 08:37:36,1713947856335,2,24/04/2024 10:37:36,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,22,16,1,Screen 1,fixation,fixation,291.5,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">8</p>",,,4,,
39,1713947857342,24/04/2024 08:37:37,1713947857336,2,24/04/2024 10:37:37,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,22,16,2,Screen 2,Zone2,timelimit_screen,999.8000000000466,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">8</p>",,,4,,
40,1713947859688,24/04/2024 08:37:39,1713947859668,2,24/04/2024 10:37:39,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,23,5,1,Screen 1,Zone2,response_text_entry,637.3000000007451,,Enter Key,9218,1,0,1,0,,,,,,Test_Forwards,,9238,9000,4,,F4_1
41,1713947859956,24/04/2024 08:37:39,1713947859939,2,24/04/2024 10:37:39,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,24,17,1,Screen 1,fixation,fixation,291,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">6</p>",,,4,,
42,1713947860992,24/04/2024 08:37:40,1713947860940,2,24/04/2024 10:37:40,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,24,17,2,Screen 2,Zone2,timelimit_screen,1000.0999999999767,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">6</p>",,,4,,
43,1713947861285,24/04/2024 08:37:41,1713947861231,2,24/04/2024 10:37:41,143617,34,task-6uz8,,37233346,vhyg4,9856748,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x641,,,,"1. Digit Span task (forward, backward)",8,ASRT,ListA,ListA,25,18,1,Screen 1,fixation,fixation,292.1000000000349,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">2</p>",,,4,,
