Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
71,1708943744865,26/02/2024 10:35:44,1708943746893,1,26/02/2024 11:35:46,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,38,19,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,1,Trials,GREENyellow.jpg,green,0,0
72,1708943745577,26/02/2024 10:35:45,1708943747614,1,26/02/2024 11:35:47,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,38,19,2,Screen 2,buttonb,response_keyboard,707.7000000001863,,,green,1,1,0,0,,,,,1,Trials,GREENyellow.jpg,green,0,0
73,1708943746061,26/02/2024 10:35:46,1708943748109,1,26/02/2024 11:35:48,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,84,20,1,Screen 1,fixation,fixation,499.8000000000029,,,,,0,1,0,,,,,1,Trials,BLUEblue.jpg,blue,1,0
74,1708943746669,26/02/2024 10:35:46,1708943748709,1,26/02/2024 11:35:48,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,84,20,2,Screen 2,buttonb,response_keyboard,585.7999999998137,,,blue,1,1,0,0,,,,,1,Trials,BLUEblue.jpg,blue,1,0
75,1708943747156,26/02/2024 10:35:47,1708943749192,1,26/02/2024 11:35:49,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,43,21,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,1,Trials,BLUEgreen.jpg,blue,0,0
76,1708943747735,26/02/2024 10:35:47,1708943749782,1,26/02/2024 11:35:49,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,43,21,2,Screen 2,buttonb,response_keyboard,577.5,,,blue,1,1,0,0,,,,,1,Trials,BLUEgreen.jpg,blue,0,0
77,1708943748240,26/02/2024 10:35:48,1708943750275,1,26/02/2024 11:35:50,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,64,22,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,REDblue.jpg,red,0,0
78,1708943749107,26/02/2024 10:35:49,1708943751138,1,26/02/2024 11:35:51,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,64,22,2,Screen 2,buttona,response_keyboard,849.1999999992549,,,red,1,1,0,0,,,,,1,Trials,REDblue.jpg,red,0,0
79,1708943749593,26/02/2024 10:35:49,1708943751625,1,26/02/2024 11:35:51,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,74,23,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
80,1708943750418,26/02/2024 10:35:50,1708943752455,1,26/02/2024 11:35:52,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,74,23,2,Screen 2,buttonb,response_keyboard,817.7000000001863,,,green,1,1,0,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
81,1708943750906,26/02/2024 10:35:50,1708943752941,1,26/02/2024 11:35:52,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,65,24,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,1,Trials,REDred.jpg,red,1,0
82,1708943751814,26/02/2024 10:35:51,1708943753855,1,26/02/2024 11:35:53,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,65,24,2,Screen 2,buttona,response_keyboard,900.8999999994412,,,red,1,1,0,0,,,,,1,Trials,REDred.jpg,red,1,0
83,1708943752300,26/02/2024 10:35:52,1708943754340,1,26/02/2024 11:35:54,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,21,25,1,Screen 1,fixation,fixation,499.9000000000233,,,,,0,1,0,,,,,1,Trials,YELLOWred.jpg,yellow,0,0
84,1708943753124,26/02/2024 10:35:53,1708943755143,1,26/02/2024 11:35:55,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,21,25,2,Screen 2,buttona,response_keyboard,798.1000000005588,,,yellow,1,1,0,0,,,,,1,Trials,YELLOWred.jpg,yellow,0,0
85,1708943753597,26/02/2024 10:35:53,1708943755639,1,26/02/2024 11:35:55,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,118,26,1,Screen 1,fixation,fixation,499.79999999998836,,,,,0,1,0,,,,,1,Trials,REDred.jpg,red,1,0
86,1708943754805,26/02/2024 10:35:54,1708943756720,1,26/02/2024 11:35:56,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,118,26,2,Screen 2,buttona,response_keyboard,1077,,,red,1,1,0,0,,,,,1,Trials,REDred.jpg,red,1,0
87,1708943755208,26/02/2024 10:35:55,1708943757206,1,26/02/2024 11:35:57,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,88,27,1,Screen 1,fixation,fixation,499.5,,,,,0,1,0,,,,,1,Trials,REDgreen.jpg,red,0,0
88,1708943755851,26/02/2024 10:35:55,1708943757885,1,26/02/2024 11:35:57,143587,31,task-cjtc,,35499988,pson3,9856427,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1519x738,,,,Stroop Task,5,DGS,spreadsheet_stroop_100,spreadsheet_stroop_100,88,27,2,Screen 2,buttona,response_keyboard,666.2999999998137,,,red,1,1,0,0,,,,,1,Trials,REDgreen.jpg,red,0,0
