Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
99,1708698728601,23/02/2024 14:32:08,1708698728486,1,23/02/2024 15:32:08,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,20,33,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,YELLOWblue.jpg,yellow,0,0
100,1708698729558,23/02/2024 14:32:09,1708698729451,1,23/02/2024 15:32:09,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,20,33,2,Screen 2,buttona,response_keyboard,958.4000000953674,,,yellow,1,1,0,0,,,,,1,Trials,YELLOWblue.jpg,yellow,0,0
101,1708698730035,23/02/2024 14:32:10,1708698729917,1,23/02/2024 15:32:09,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,117,34,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,YELLOWyellow.jpg,yellow,1,0
102,1708698730657,23/02/2024 14:32:10,1708698730497,1,23/02/2024 15:32:10,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,117,34,2,Screen 2,buttona,response_keyboard,574.4000000953674,,,yellow,1,1,0,0,,,,,1,Trials,YELLOWyellow.jpg,yellow,1,0
103,1708698761373,23/02/2024 14:32:41,1708698730986,1,23/02/2024 15:32:10,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,19,35,1,Screen 1,fixation,fixation,500.5,,,,,0,1,0,,,,,1,Trials,YELLOWyellow.jpg,yellow,1,0
104,1708698761373,23/02/2024 14:32:41,1708698731486,1,23/02/2024 15:32:11,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,19,35,2,Screen 2,buttona,response_keyboard,493.40000009536743,,,yellow,1,1,0,0,,,,,1,Trials,YELLOWyellow.jpg,yellow,1,0
105,1708698761373,23/02/2024 14:32:41,1708698731954,1,23/02/2024 15:32:11,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,45,36,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,BLUEyellow.jpg,blue,0,0
106,1708698761373,23/02/2024 14:32:41,1708698732444,1,23/02/2024 15:32:12,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,45,36,2,Screen 2,buttonb,response_keyboard,486.2999999523163,,,blue,1,1,0,0,,,,,1,Trials,BLUEyellow.jpg,blue,0,0
107,1708698761373,23/02/2024 14:32:41,1708698732917,1,23/02/2024 15:32:12,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,39,37,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,GREENblue.jpg,green,0,0
108,1708698761373,23/02/2024 14:32:41,1708698733325,1,23/02/2024 15:32:13,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,39,37,2,Screen 2,buttonb,response_keyboard,402.2000000476837,,,blue,1,0,1,0,,,,,1,Trials,GREENblue.jpg,green,0,0
109,1708698761373,23/02/2024 14:32:41,1708698733817,1,23/02/2024 15:32:13,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,72,38,1,Screen 1,fixation,fixation,499.90000000000873,,,,,0,1,0,,,,,1,Trials,REDred.jpg,red,1,0
110,1708698761373,23/02/2024 14:32:41,1708698734937,1,23/02/2024 15:32:14,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,72,38,2,Screen 2,buttona,response_keyboard,1114.3999998569489,,,red,1,1,0,0,,,,,1,Trials,REDred.jpg,red,1,0
111,1708698761373,23/02/2024 14:32:41,1708698735420,1,23/02/2024 15:32:15,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,30,39,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,GREENyellow.jpg,green,0,0
112,1708698761373,23/02/2024 14:32:41,1708698736876,1,23/02/2024 15:32:16,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,30,39,2,Screen 2,buttonb,response_keyboard,1450.1000001430511,,,green,1,1,0,0,,,,,1,Trials,GREENyellow.jpg,green,0,0
113,1708698761373,23/02/2024 14:32:41,1708698737353,1,23/02/2024 15:32:17,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,49,40,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,BLUEyellow.jpg,blue,0,0
114,1708698761373,23/02/2024 14:32:41,1708698737817,1,23/02/2024 15:32:17,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,49,40,2,Screen 2,buttonb,response_keyboard,457.5,,,blue,1,1,0,0,,,,,1,Trials,BLUEyellow.jpg,blue,0,0
115,1708698761373,23/02/2024 14:32:41,1708698738287,1,23/02/2024 15:32:18,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,93,41,1,Screen 1,fixation,fixation,499.90000000000873,,,,,0,1,0,,,,,1,Trials,YELLOWyellow.jpg,yellow,1,0
116,1708698761373,23/02/2024 14:32:41,1708698739021,1,23/02/2024 15:32:19,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,93,41,2,Screen 2,buttona,response_keyboard,728,,,yellow,1,1,0,0,,,,,1,Trials,YELLOWyellow.jpg,yellow,1,0
117,1708698761373,23/02/2024 14:32:41,1708698739520,1,23/02/2024 15:32:19,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,64,42,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,1,Trials,REDblue.jpg,red,0,0
118,1708698761373,23/02/2024 14:32:41,1708698740024,1,23/02/2024 15:32:20,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,64,42,2,Screen 2,buttona,response_keyboard,499.2000000476837,,,red,1,1,0,0,,,,,1,Trials,REDblue.jpg,red,0,0
119,1708698761373,23/02/2024 14:32:41,1708698740519,1,23/02/2024 15:32:20,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,65,43,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,REDred.jpg,red,1,0
120,1708698761373,23/02/2024 14:32:41,1708698741013,1,23/02/2024 15:32:21,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,65,43,2,Screen 2,buttona,response_keyboard,489.2000000476837,,,red,1,1,0,0,,,,,1,Trials,REDred.jpg,red,1,0
121,1708698761373,23/02/2024 14:32:41,1708698741486,1,23/02/2024 15:32:21,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,52,44,1,Screen 1,fixation,fixation,500.29999999998836,,,,,0,1,0,,,,,1,Trials,BLUEblue.jpg,blue,1,0
122,1708698761373,23/02/2024 14:32:41,1708698741986,1,23/02/2024 15:32:21,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,52,44,2,Screen 2,buttona,response_keyboard,493.59999990463257,,,yellow,1,0,1,0,,,,,1,Trials,BLUEblue.jpg,blue,1,0
123,1708698761467,23/02/2024 14:32:41,1708698742482,1,23/02/2024 15:32:22,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,33,45,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
124,1708698761467,23/02/2024 14:32:41,1708698743121,1,23/02/2024 15:32:23,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,33,45,2,Screen 2,buttonb,response_keyboard,634.0999999046326,,,blue,1,0,1,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
125,1708698761467,23/02/2024 14:32:41,1708698743620,1,23/02/2024 15:32:23,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,40,46,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,GREENred.jpg,green,0,0
126,1708698761467,23/02/2024 14:32:41,1708698744446,1,23/02/2024 15:32:24,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,40,46,2,Screen 2,buttonb,response_keyboard,820.6999998092651,,,blue,1,0,1,0,,,,,1,Trials,GREENred.jpg,green,0,0
127,1708698761467,23/02/2024 14:32:41,1708698744920,1,23/02/2024 15:32:24,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,98,47,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,REDred.jpg,red,1,0
128,1708698761467,23/02/2024 14:32:41,1708698745631,1,23/02/2024 15:32:25,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,98,47,2,Screen 2,buttona,response_keyboard,705,,,red,1,1,0,0,,,,,1,Trials,REDred.jpg,red,1,0
129,1708698761467,23/02/2024 14:32:41,1708698746120,1,23/02/2024 15:32:26,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,112,48,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,1,Trials,YELLOWyellow.jpg,yellow,1,0
130,1708698761467,23/02/2024 14:32:41,1708698746696,1,23/02/2024 15:32:26,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,112,48,2,Screen 2,buttona,response_keyboard,571.3999998569489,,,yellow,1,1,0,0,,,,,1,Trials,YELLOWyellow.jpg,yellow,1,0
131,1708698761467,23/02/2024 14:32:41,1708698747186,1,23/02/2024 15:32:27,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,118,49,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,REDred.jpg,red,1,0
132,1708698761467,23/02/2024 14:32:41,1708698747838,1,23/02/2024 15:32:27,143587,31,task-l8uv,,35456928,hnzm9,9856557,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,118,49,2,Screen 2,buttona,response_keyboard,646.7000000476837,,,red,1,1,0,0,,,,,1,Trials,REDred.jpg,red,1,0
