Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer,TimedSection,listLength,,ItemNo
23,1715036119646,06/05/2024 22:55:19,1715036120116,2,07/05/2024 00:55:20,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,13,9,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">5</p>",,,3,,
24,1715036121020,06/05/2024 22:55:21,1715036121459,2,07/05/2024 00:55:21,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,14,3,1,Screen 1,Zone2,response_text_entry,608.0999999046326,,Enter Key,485,1,1,0,0,,,,,,Test_Forwards,,485,8000,3,,F3_3
25,1715036121282,06/05/2024 22:55:21,1715036121749,2,07/05/2024 00:55:21,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,15,10,1,Screen 1,fixation,fixation,299.80000000004657,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">3</p>",,,3,,
26,1715036122268,06/05/2024 22:55:22,1715036122750,2,07/05/2024 00:55:22,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,15,10,2,Screen 2,Zone2,timelimit_screen,1000.1999999999534,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">3</p>",,,3,,
27,1715036122582,06/05/2024 22:55:22,1715036123048,2,07/05/2024 00:55:23,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,16,11,1,Screen 1,fixation,fixation,299.9000000001397,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
28,1715036123575,06/05/2024 22:55:23,1715036124050,2,07/05/2024 00:55:24,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,16,11,2,Screen 2,Zone2,timelimit_screen,1000.0999999998603,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
29,1715036123882,06/05/2024 22:55:23,1715036124349,2,07/05/2024 00:55:24,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,17,12,1,Screen 1,fixation,fixation,299.69999999995343,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
30,1715036124871,06/05/2024 22:55:24,1715036125349,2,07/05/2024 00:55:25,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,17,12,2,Screen 2,Zone2,timelimit_screen,1000.1000000000931,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
31,1715036126387,06/05/2024 22:55:26,1715036126862,2,07/05/2024 00:55:26,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,18,4,1,Screen 1,Zone2,response_text_entry,521.2000002861023,,Enter Key,396,1,1,0,0,,,,,,Test_Forwards,,396,8000,3,,F3_4
32,1715036126680,06/05/2024 22:55:26,1715036127149,2,07/05/2024 00:55:27,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,19,13,1,Screen 1,fixation,fixation,299.89999999990687,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,4,,
33,1715036127678,06/05/2024 22:55:27,1715036128149,2,07/05/2024 00:55:28,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,19,13,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,4,,
34,1715036127987,06/05/2024 22:55:27,1715036128449,2,07/05/2024 00:55:28,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,20,14,1,Screen 1,fixation,fixation,300,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">2</p>",,,4,,
35,1715036128979,06/05/2024 22:55:28,1715036129449,2,07/05/2024 00:55:29,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,20,14,2,Screen 2,Zone2,timelimit_screen,999.8000000000466,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">2</p>",,,4,,
36,1715036129276,06/05/2024 22:55:29,1715036129748,2,07/05/2024 00:55:29,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,21,15,1,Screen 1,fixation,fixation,300.10000000009313,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">3</p>",,,4,,
37,1715036130362,06/05/2024 22:55:30,1715036130749,2,07/05/2024 00:55:30,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,21,15,2,Screen 2,Zone2,timelimit_screen,999.8000000000466,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">3</p>",,,4,,
38,1715036130577,06/05/2024 22:55:30,1715036131048,2,07/05/2024 00:55:31,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,22,16,1,Screen 1,fixation,fixation,299.89999999990687,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">8</p>",,,4,,
39,1715036131583,06/05/2024 22:55:31,1715036132049,2,07/05/2024 00:55:32,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,22,16,2,Screen 2,Zone2,timelimit_screen,1000.1999999999534,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">8</p>",,,4,,
40,1715036135458,06/05/2024 22:55:35,1715036135934,2,07/05/2024 00:55:35,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,23,5,1,Screen 1,Zone2,response_text_entry,916.5,,Enter Key,9238,1,1,0,0,,,,,,Test_Forwards,,9238,9000,4,,F4_1
41,1715036135746,06/05/2024 22:55:35,1715036136215,2,07/05/2024 00:55:36,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,24,17,1,Screen 1,fixation,fixation,299.9000000001397,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">6</p>",,,4,,
42,1715036136749,06/05/2024 22:55:36,1715036137216,2,07/05/2024 00:55:37,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,24,17,2,Screen 2,Zone2,timelimit_screen,999.8999999999069,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">6</p>",,,4,,
43,1715036137043,06/05/2024 22:55:37,1715036137515,2,07/05/2024 00:55:37,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,25,18,1,Screen 1,fixation,fixation,299.89999999990687,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">2</p>",,,4,,
44,1715036138043,06/05/2024 22:55:38,1715036138515,2,07/05/2024 00:55:38,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,25,18,2,Screen 2,Zone2,timelimit_screen,1000.1000000000931,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">2</p>",,,4,,
45,1715036138345,06/05/2024 22:55:38,1715036138815,2,07/05/2024 00:55:38,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,26,19,1,Screen 1,fixation,fixation,300.10000000009313,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,4,,
46,1715036139346,06/05/2024 22:55:39,1715036139815,2,07/05/2024 00:55:39,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,26,19,2,Screen 2,Zone2,timelimit_screen,999.8999999999069,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,4,,
47,1715036139640,06/05/2024 22:55:39,1715036140114,2,07/05/2024 00:55:40,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,27,20,1,Screen 1,fixation,fixation,299.69999999995343,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">8</p>",,,4,,
48,1715036140642,06/05/2024 22:55:40,1715036141114,2,07/05/2024 00:55:41,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,27,20,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">8</p>",,,4,,
49,1715036145564,06/05/2024 22:55:45,1715036146029,2,07/05/2024 00:55:46,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,28,6,1,Screen 1,Zone2,response_text_entry,671.5999999046326,,Enter Key,6298,1,1,0,0,,,,,,Test_Forwards,,6298,9000,4,,F4_2
50,1715036145846,06/05/2024 22:55:45,1715036146314,2,07/05/2024 00:55:46,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,29,21,1,Screen 1,fixation,fixation,300,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">4</p>",,,4,,
51,1715036146865,06/05/2024 22:55:46,1715036147315,2,07/05/2024 00:55:47,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,29,21,2,Screen 2,Zone2,timelimit_screen,999.8999999999069,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">4</p>",,,4,,
52,1715036147152,06/05/2024 22:55:47,1715036147614,2,07/05/2024 00:55:47,143617,34,task-2f5q,,37508153,hvbn2,9856737,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1366x768,1366x679,,,,"1. Digit Span task (forward, backward)",8,Stroop ,ListA,ListA,30,22,1,Screen 1,fixation,fixation,299.89999999990687,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">1</p>",,,4,,
